PCIR
App Issue | App Lag issue | T/S Shared - Asked to Retry
DC - Delivery Escalation | DC tracking unavailable | L2C: DC tracking details unavailable issue
DC - Delivery Escalation | Physical DC ordering | L2J: Physical DC ordering issue
DC - Delivery Escalation | Unable to redispatch | L2J: Unable to redispatch
DC - Info & Details | Autopay issue | L2J: Autopay issue
DC - Info & Details | Autopay set up | Provided steps for Autopay / Provided info of autopay
DC - Info & Details | Cancel autopay | Advised to contact Merchant
DC - Info & Details | Card Design Customization | Feature not available
DC - Info & Details | Charges & Limits Enquiry | Informed about charges/limits
DC - Info & Details | DC App Controls Enquiry | Guided through steps
DC - Info & Details | Directed to DMP | Guided through steps
DC - Info & Details | Set DC PIN Enquiry | Guided through steps
DC - Info & Details | TCS deduction Enquiry | Informed about process flow
DC - Outgoing Transaction | DMP Post TAT | L2C: DMP update
DC - Outgoing Transaction | DMP update | DMP details provided
DC - Payment Transaction | DC Not Accepted Issue | Informed about merchant list
DC - Payment Transaction | DC Not Accepted Issue | L2J: DC Not Accepted Issue
DC - Payment Transaction | Disputing successful txn | L2C: Disputing successful txn issue
DC - Payment Transaction | Duplicate Payment | L2C: Chargeback for duplicate payment issue
DC - Payment Transaction | Forex charge | L2J: Forex charges issue
DC - Payment Transaction | Fraud & Suspicious Transaction | Informed about process flow
DC - Payment Transaction | Goods/service not provided | L2C: Chargeback for goods/service not provided issue
DC - Payment Transaction | MCC enquiry | Informed about MCC details
DC - Payment Transaction | Merchant refund delay(Post TAT) | L2C: Merchant refund delay issue
DC - Payment Transaction | Merchant refund delay(within TAT) | Advised to wait till TAT
DC - Payment Transaction | OTP Issue | L2J: OTP issue
DC - Payment Transaction | OTP Issue | Provided alternatives for OTP
DC - Payment Transaction | Refund Issue | L2C:Refund issue
DC - Payment Transaction | Refund not received | Advised to wait till TAT
DC - Payment Transaction | Suspicious/fraud txn | L2C: Chargeback for suspicious/fraud txn issue
DC - Payment Transaction | TCS deduction | L2C: TCS deduction issue
DC - Payment Transaction | Transaction Failed | Informed about failed reasons
DC - Payment Transaction | Transaction Status Enquiry | Informed about the status
DC - Payment Transaction | Txn failed money debited | L2C: Txn failed issue
DC - Payment Transaction | Txn in processing | L2J: Txn in processing issue
DC - Payment Transaction | Unable to Initiate txn | L2J: Unable to Initiate txn issue
DC - Physical DC enquiry | Delivery Enquiry | Informed about AWB/courier partner details
DC - Physical DC enquiry | Delivery Failure Enquiry | Reason for failure shared
DC - Physical DC enquiry | Physical DC Generation enquiry | Informed about process flow
DC - Physical DC enquiry | Reorder DC enquiry | Guided through reordering DC
Debt Tracker-Info & Details | How to utilise debt tracker | Informed about the feature and benefits
Debt Tracker-Usage | App is not reflecting all the loans | L2J:Loan Details missing
Debt Tracker-Usage | App is reflecting incorrect loan details | Informed the process to update the info
Debt Tracker-Usage | App is reflecting incorrect loan details | L2J:Incorrect Loan Details
Debt Tracker-Usage | Unable to add / delete loan A/c | L2J:Unable to add / delete loan A/C
"Digigold-Buy Related | Amt debited, DG not credited | Informed the user to wait for TAT"
"Digigold-Buy Related | Amt debited, DG not credited | L2C: Digital gold not credited issue"
"Digigold-Buy Related | Amt debited, DG not credited | L2J: Digital gold not credited issue"
"Digigold-Buy Related | Amt not debited, buy txn failing | L2J: Digital gold txn failed issue"
"Digigold-Buy Related | Jewels debited, DG not credited | Informed the user to wait for TAT"
"Digigold-Buy Related | Jewels debited, DG not credited | L2J: Digital gold not credited issue"
Digigold-Buy Related | Mismatch in order value and DG credited | L2C: Digital gold wrong quantity credited issue
Digigold-Conversion | Unable to convert Jewels to DG | Informed Jwls can be redeemed later
Digigold-Conversion | Unable to convert Jewels to DG | L2J: Converting Jwls to DigiGold issue
Digigold-Habits | How to modify/cancel/ set up DG Habits | Guided with process
Digigold-Habits | Unable to cancel habits | L2J: Unable to cancel Habits
Digigold-Habits | Unable to pause / modify Habits | L2J: Unable to pause / modify Habits
Digigold-Habits | Unable to set up Habits | L2J: Unable to set up Habits
Digigold-Info & Details | How to obtain DG | Informed about buy / sell / Jewel redemption to DG
Digigold-Info & Details | How to sell DG | Informed process of selling DG
Digigold-Info & Details | What is the current Gold price? | Informed about current Gold Price
"Digigold-Sell Related | DG sold, amt not credited | Informed the user to wait for TAT"
"Digigold-Sell Related | DG sold, amt not credited | L2C: Sold DG, amt not credited"
"Digigold-Sell Related | DG sold, amt not credited | L2J: Sold DG, amt not credited"
Digigold-Sell Related | Unable to sell DG | L2J: Selling DigiGold issue
Digigold-SIP | How to cancel SIP | Informed the process to cancel SIP
Digigold-SIP | How to modify DG SIP | Informed the process for SIP modification
Digigold-SIP | How to set up SIP | Informed the process to set up SIP
Digigold-SIP | Unable to cancel/set up SIP | L2J: Unable to cancel SIP
Digigold-SIP | Unable to cancel/set up SIP | L2J: Unable to set up SIP
Digigold-SIP | Unable to pause / modify SIP | L2J: Unable to pause / modify SIP
Edge Card-Info&Details | Enquiry about CSB CC | Routed to CSB Support
Edge Card-Info&Details | Enquiry about Federal CC | Routed to Federal Credit Card Support
Edge VISA | Account Related | Bill autopay set up enquiry
Edge VISA | Account Related | Block card related enquiry
Edge VISA | Account Related | Cancel/Pause/Resume subscription related enquiry
Edge VISA | Account Related | Close card related enquiry
Edge VISA | Account Related | Edge Card PIN related enquiry
Edge VISA | Account Related | L2J: App crashing issue
Edge VISA | Account Related | L2J: Bill autopay set up related issue
Edge VISA | Account Related | L2J: Block card related issue
Edge VISA | Account Related | L2J: Cancel/Pause/Resume subscription related issue
Edge VISA | Account Related | L2J: Close card related issue
Edge VISA | Account Related | L2J: Managing transaction related issue
Edge VISA | Account Related | L2J: Tokenization related issue
Edge VISA | Account Related | L2J: Txn autopay set up related issue
Edge VISA | Account Related | Managing transaction related enquiry
Edge VISA | Account Related | New feature request
Edge VISA | Account Related | NPA related query
Edge VISA | Account Related | Reverse NPA related query
Edge VISA | Account Related | Tokenization enquiry
Edge VISA | Account Related | Txn autopay set up related enquiry
Edge VISA | Bills and Payment | Bill Cycle Change enquiry
Edge VISA | Bills and Payment | Custom payment enquiry
Edge VISA | Bills and Payment | L2C: Bill paid but not reflecting issue
Edge VISA | Bills and Payment | L2J: Bill Dispute issue
Edge VISA | Bills and Payment | L2J: Bill payment failing issue
Edge VISA | Bills and Payment | L2J: Statement dispute issue
Edge VISA | Bills and Payment | L2J: Statement download issue
Edge VISA | Bills and Payment | L2J: Waiver Request raised
Edge VISA | Bills and Payment | Repayment Transaction Failed
Edge VISA | Bills and Payment | Statement related enquiry
Edge VISA | Bills and Payment | Third party payment related enquiry
Edge VISA | Bills and Payment | Waiver enquiry
Edge VISA | Chargeback related | L2C: Duplicate/Multiple Billing issue
Edge VISA | Chargeback related | L2C: Failed txn issue
Edge VISA | Chargeback related | L2C: Goods & Services not delivered issue
Edge VISA | Chargeback related | L2C: Incorrect Transaction amount issue
Edge VISA | Chargeback related | L2C: Recurring transaction issue
Edge VISA | Chargeback related | L2C: Refund for Goods & Services not received issue
Edge VISA | Chargeback related | L2C: Unauthorized Transaction issue
Edge VISA | Charges & Terms | Fee and Charges enquiry
Edge VISA | Charges & Terms | Forex Charges related inquiry
Edge VISA | Charges & Terms | Fuel surcharge related enquiry
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - Annual Fee
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - ATM withdrawal
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - Card replacement fee
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - Forex charges
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - Fuel Surcharge
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - LPC & Interests
Edge VISA | Charges & Terms | L2J: Incorrect Fee charged - Rewards
Edge VISA | Charges & Terms | Life time free charges enquiry
Edge VISA | Charges & Terms | LPC & Interest related enquiry
Edge VISA | Info and details | Call drop related
Edge VISA | Info and details | Card benefits enquiry
Edge VISA | Info and details | Credit Score related enquiry
Edge VISA | Info and details | EMI related enquiry
Edge VISA | Info and details | Interest Related Inquiry
Edge VISA | Info and details | Routed to Rupay
Edge VISA | Info and details | Rupay Card Enquiry
Edge VISA | Info and details | Support related enquiry
Edge VISA | Onboarding | Approved limit enquiry
Edge VISA | Onboarding | Card cancellation enquiry - Delayed activation
Edge VISA | Onboarding | Eligibility - Application declined enquiry
Edge VISA | Onboarding | Eligibility - Reapplication enquiry
Edge VISA | Onboarding | Eligibility - Unable to see Edge Card enquiry
Edge VISA | Onboarding | KYC - Agent Not Available enquiry
Edge VISA | Onboarding | KYC - DoB Mismatch related enquiry
Edge VISA | Onboarding | KYC - Father's name mismatch enquiry
Edge VISA | Onboarding | KYC - L2C: Agent Behaviour issue
Edge VISA | Onboarding | KYC - L2C: Auditor rejected issues
Edge VISA | Onboarding | KYC - L2C: Status related issue
Edge VISA | Onboarding | KYC - L2J: Device Issue / Screen Issue
Edge VISA | Onboarding | KYC - L2J: Network Issue
Edge VISA | Onboarding | KYC - L2J: Technical/Device related issue
Edge VISA | Onboarding | KYC - L2J: Webview link issue
Edge VISA | Onboarding | KYC - Language related enquiry
Edge VISA | Onboarding | KYC - Pan card related enquiry
Edge VISA | Onboarding | KYC - Status Related enquiry
Edge VISA | Onboarding | L2J: Activation OTP related issue
Edge VISA | Onboarding | L2J: Approved limit related issue
Edge VISA | Onboarding | L2J: Card details not visible issue
Edge VISA | Onboarding | L2J: Eligibility related issue
Edge VISA | Onboarding | L2J: Enabling txn channels after issuance
Edge VISA | Onboarding | Permission related enquiry
Edge VISA | Onboarding | Set up/Activation - Set up enquiry
Edge VISA | Physical Card | Edge Card Delivery Enquiry
Edge VISA | Physical Card | Edge Card Set up inquiry
Edge VISA | Physical Card | L2C: Damaged/Broken card recieved issue
Edge VISA | Physical Card | L2C: Edge Card Delivery issue
Edge VISA | Physical Card | L2J: Card details not visible issue
Edge VISA | Physical Card | L2J: Edge Card Address related issue
Edge VISA | Physical Card | L2J: Edge Card Set up issue
Edge VISA | Physical Card | L2J: Physical card application failure
Edge VISA | Physical Card | L2J: QR code related issue
Edge VISA | Physical Card | L2J: Tracking details unavailable issue
Edge VISA | Physical Card | Phone number/address change enquiry
Edge VISA | Physical Card | Re-Order Edge Card inquiry
Edge VISA | Rewards | Auto renew enquiry
Edge VISA | Rewards | Booster related enquiry
Edge VISA | Rewards | L2J: Booster pack related issue
Edge VISA | Rewards | L2J: Did not receive Jewels issue
Edge VISA | Rewards | L2J: New CVP Live- Booster Pack Charges not refunded
Edge VISA | Rewards | L2J: Pack cancellation request raised
Edge VISA | Rewards | L2J: Pack technical issue
Edge VISA | Rewards | L2J: Redeemed but Jewels not credited issue
Edge VISA | Rewards | L2J: Top merchant related issue
Edge VISA | Rewards | L2J: Unable to redeem Jewels issue
Edge VISA | Rewards | Lounge related query
Edge VISA | Rewards | Merchant related enquiry
Edge VISA | Rewards | New CVP Construct Inquiry
Edge VISA | Rewards | Pack cancellation enquiry
Edge VISA | Rewards | Program enquiry
Edge VISA | Rewards | Top merchant related enquiry
Edge VISA | Txn_Offline_incoming | L2C: Refund related issue
Edge VISA | Txn_Offline_incoming | L2C: Reversal related issue
Edge VISA | Txn_Offline_incoming | Refund related enquiry
Edge VISA | Txn_Offline_incoming | Reversal related enquiry
Edge VISA | Txn_Offline_outgoing | ATM withdrawal related enquiry
Edge VISA | Txn_Offline_outgoing | Fraud and Suspicious transaction enquiry
Edge VISA | Txn_Offline_outgoing | Inelligible Merchant related enquiry
Edge VISA | Txn_Offline_outgoing | L2J: Card not working at ATM issue
Edge VISA | Txn_Offline_outgoing | L2J: Card not working at POS issue
Edge VISA | Txn_Offline_outgoing | L2J: Card stuck at ATM related issue
Edge VISA | Txn_Offline_outgoing | L2J: No Cash dispensed issue
Edge VISA | Txn_Offline_outgoing | L2J: Partial Cash withdrawal issue
Edge VISA | Txn_Offline_outgoing | L2J: Transaction failure issue
Edge VISA | Txn_Offline_outgoing | L2J: Transaction PIN related issue
Edge VISA | Txn_Offline_outgoing | Transaction failure enquiry
Edge VISA | Txn_Offline_outgoing | Transaction PIN related enquiry
Edge VISA | Txn_Offline_outgoing | Transcation status enquiry
Edge VISA | Txn_Online_incoming | Fraud and Suspicious transaction enquiry
Edge VISA | Txn_Online_incoming | Fraud decline transaction enquiry
Edge VISA | Txn_Online_incoming | L2C: Refund related issue
Edge VISA | Txn_Online_incoming | L2C: Reversal related issue
Edge VISA | Txn_Online_incoming | Refund related enquiry
Edge VISA | Txn_Online_incoming | Reversal related enquiry
Edge VISA | Txn_Online_outgoing | Fraud and Suspicious transaction enquiry
Edge VISA | Txn_Online_outgoing | Fraud decline transaction enquiry
Edge VISA | Txn_Online_outgoing | Inelligible Merchant related enquiry
Edge VISA | Txn_Online_outgoing | L2J: Transaction failure issue
Edge VISA | Txn_Online_outgoing | L2J: Transaction OTP not received issue
Edge VISA | Txn_Online_outgoing | Transaction failure enquiry
Edge VISA | Txn_Online_outgoing | Transaction failure- not visible
Edge VISA | Txn_Online_outgoing | Transaction OTP not received enquiry
Edge VISA | Txn_Online_outgoing | Transcation status enquiry
External CC Tracking-Info& Details | How to start CC tracking | Informed about the feature
External CC Tracking-Usage | CC spends are incorrectly categarised | Taken feedback for incorrect spends cat
External CC Tracking-Usage | How to edit Email ID | Informed about email id change
External CC Tracking-Usage | How to pause/resume CC tracking | Informed about pause / resume tracking
External CC Tracking-Usage | Incorrect CC fetched | Informed to update app
External CC Tracking-Usage | Incorrect CC fetched | L2J: Incorrect details fetched
External CC Tracking-Usage | Unable to click on CTA | Informed to update app
External CC Tracking-Usage | Unable to click on CTA | L2J: Technical Issues
External CC Tracking-Usage | Unable to fetch Gmail A/C | Informed to retry later
External CC Tracking-Usage | Unable to find my CC | Informed to update app
External CC Tracking-Usage | Unable to find my CC | L2J: Card not showing up
FD-Info&Details | Creation Issue | Asked to share error details
FD-Info&Details | Creation Issue | L2C: Creation failed (amt debited) issue
FD-Info&Details | Creation Issue | L2J: Creation failed (amt not debited) issue
FD-Info&Details | How to create FD | Guided with process
FD-Info&Details | How to withdraw FD | Guided with process
FD-Info&Details | Unable to create FD | L2J: Unable to create FD Issue
FD-Usage | Deposit Certificate not recieved | L2C: Receiving deposit certificate issue
FD-Usage | Form 16 not recieved | L2C: Receiving form 16 issue
FD-Usage | How to obtain Deposit Certificate | Informed cert will be sent on email
FD-Usage | How to obtain Form 16 | Guided the process for Form 16
FD-Usage | How to obtain Interest Certificate | Informed cert will be sent on email quarterly
FD-Usage | How to obtain TDS Certificate | Informed cert will be sent on email quarterly
FD-Usage | Interest Certificate not recieved | L2C: Receiving interest certificate issue
FD-Usage | Recieved incorrect withdrawal amount | Informed the reason
FD-Usage | Recieved incorrect withdrawal amount | L2C: Incorrect amt credited issue
FD-Usage | TDS Certificate not recieved | L2C: Receiving TDS certificate issue
FD-Usage | Unable to renew FD | L2J: Unable to renew
FD-Usage | Unable to withdraw | Asked for error details
FD-Usage | Unable to withdraw | L2C: Amount not recieved within TAT
FD-Usage | Unable to withdraw | L2J: Withdrawal tech issue
FD-Usage | When will FD mature | Informed about maturity date
FD-Usage | Why is my FD renewed | Informed auto renewal was turned on
FD-Usage | Withdrawal is failing | L2J: Withdrawal failed issue
Fed SA-VKYC - Info & Details | ePAN process enquiry | Process not available
Fed SA-VKYC - Info & Details | Freeze related | Educated about the error code
Fed SA-VKYC - Info & Details | Offline KYC Enquiry | Process not available
Fed SA-VKYC - Info & Details | Process Enquiry | Educated about VKYC process
Fed SA-VKYC - Info & Details | Redo VKYC Process Enquiry | Educated about Redo VKYC process
Fed SA-VKYC - VKYC Completed but Status Not Updated | A/c frozen_L2C: Bal transfer request | Escalated to Tech
Fed SA-VKYC - VKYC Completed but Status Not Updated | L2J: Redo VKYC | Escalated to Tech
Fed SA-VKYC - VKYC Completed but Status Not Updated | L2J: Status not updated | Escalated to Tech
Fed SA-VKYC - VKYC Completed but Status Not Updated | Within wait time | Asked to wait till 72 hours
Fed SA-VKYC - VKYC Started but Not Completed | AADHAR_PHOTO_MATCH_PER_LOW | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | ACCOUNT_OPENING_ATTEMPT_FOREIGN | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | Agent Not Available | Asked to retry later
Fed SA-VKYC - VKYC Started but Not Completed | AGENT_CAMERA_MIC_ACCESS_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | AGENT_DISCONNECTED | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | AUDIO_RELATED_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | Auditor Rejected | Other Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | Auditor Rejected | Other Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | BLACK_SCREEN_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CALL_DURATION_TIMEOUT | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CAMERA_RELATED_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_ADDRESS_EMAIL_LOCATION_MISMATCH | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_BEHAVIOUR_ISSUES | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_DEAF_DUMB_BLIND | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_DISCONNECTED | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_DISCONNECTED_ON_AGENT_SIDE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_FATHER_MOTHER_NAME_MISMATCH | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_HAS_E-PAN_SOFTCOPY_DIGILOCKER | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_IS_FRAUDULENT | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_PEN_PAPER_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_UNABLE_HEAR_AGENT | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTOMER_WILL_RECALL | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | CUSTsaMER_UNAWARE_ABOUT_VKYC | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | DOB_MISMATCH | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | DUPLICATE_INVALID_TAMPERED_PAN | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | ECHO_ISSUE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | FORGED_KYC_DOCUMENTS | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | Income mismatch | Asked to retry later
Fed SA-VKYC - VKYC Started but Not Completed | INCOMPATIBLE_CUSTOMER_DEVICE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | INVALID_DATA | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | INVOLVEMENT_THIRD_PARTY | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | L2J: LOCATION_OUTSIDE_INDIA | Escalated to Tech
Fed SA-VKYC - VKYC Started but Not Completed | L2J: Something snapped issue | Escalated to Tech
Fed SA-VKYC - VKYC Started but Not Completed | L2J: Webview link issue | Escalated to Tech
Fed SA-VKYC - VKYC Started but Not Completed | LANGUAGE_BARRIER | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | OTHER | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | Other VKYC Related Issues | Other Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | PAN_OCR_CAPTURE_FAILED | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | PAN_PHOTO_MATCH_PER_LOW | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | PAN_SIGNATURE_CAPTURING_FAILED | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | PHOTO_UNABLE_TO_DETERMINE | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | RE_NEGATIVE_LIST_BLOCK | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | USER_FACE_NOT_VISIBLE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | USER_INTERNET_WEAK | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | USER_NOT_AUDIBLE | Soft Reject - Asked to Retry
Fed SA-VKYC - VKYC Started but Not Completed | USER_UNABLE_TO_FOLLOW_INSTRUCTIONS | Hard Reject - Cannot Retry
Fed SA-VKYC - VKYC Started but Not Completed | USER_WITHOUT_PAN | Soft Reject - Asked to Retry
GC-GC Redemption | Unable to redeem GC | L2C: Gift card Redemption issue
Insights-Info&Details | How are txns categarised | Informed about transactions cat
Insights-Info&Details | How to utilise Insights | Informed about the feature
LAMF-Active Loan | Charges for changing my registered bank account | Informed about mandate reg fees
LAMF-Active Loan | Completed my application but I am unable to see my limit | L2C: completed my application but I am unable to see my limit
LAMF-Active Loan | Completed my line enhancement application but my limit has not increased | L2C: completed my line enhancement application but limit has not increased
LAMF-Active Loan | How can I foreclose the loan | Informed the process
LAMF-Active Loan | How can I foreclose the loan | L2C: Unable to foreclose
LAMF-Active Loan | How do I pay my interest manually | Informed the steps
LAMF-Active Loan | How to change my registered bank Account | Informed the process
LAMF-Active Loan | How to change my registered bank Account | L2C: Reg bank account change
LAMF-Active Loan | How to make a repayment | Informed the process
LAMF-Active Loan | How to remove lien | Informed the process
LAMF-Active Loan | How to submit a withdrawal request | Informed the process
LAMF-Active Loan | How will my interest be deducted | Informed auto debit from reg bank a/c
